AppID,Name,Primary_Genre,Price,Review_Score_Pct,Review_Count,Playtime_Hours,Languages_Count,Multiplayer,Cluster_Label
208670,Blades of Time,1,1,1,2,1,1,1,2
93200,Revenge of the Titans,1,2,1,2,1,0,0,0
1593350,Increlution,11,1,1,2,2,0,0,0
1669000,Age of Wonders 4,15,2,1,2,2,1,1,0
2093910,Time Walker: Dark World,11,1,1,2,2,0,0,0
1681430,RoboCop: Rogue City,1,2,2,2,2,1,0,0
6310,The Longest Journey,1,1,2,2,2,0,0,0
3440120,Knights of the Crusades,11,2,1,0,1,0,0,0
1970460,Garden Galaxy,5,1,2,2,2,0,0,0
340770,Death Goat,1,0,1,1,1,0,0,2
1018000,Arcade Classics Anniversary Collection,1,2,0,1,1,0,1,2
892970,Valheim,1,2,2,2,2,1,1,0
10500,Total War: EMPIRE – Definitive Edition,20,2,2,2,2,1,1,0
248290,Reach for the Sun,5,1,0,1,1,0,0,2
646100,Woodlands,1,2,0,1,0,0,0,1
663390,Rento Fortune: Online Dice Board Game (大富翁),5,1,0,2,2,1,1,1
733300,My Big Sister,2,0,2,1,1,0,0,0
281640,The Banner Saga 2,11,1,2,2,2,1,0,0
601220,Zup! F,5,0,2,2,1,1,0,0
1263850,Football Manager 2021,18,0,2,2,2,1,1,0
1755830,Astrea: Six-Sided Oracles,5,2,2,2,2,1,0,0
623380,Cybermotion,11,2,1,0,0,0,0,2
1583230,High On Life,1,2,2,2,2,0,0,0
558110,Odyssey - The Story of Science,2,0,1,1,0,0,0,2
632840,CYBER VR,1,2,0,0,1,0,1,1
281580,Wings Over Europe,18,0,0,0,0,0,0,1
749960,Townsmen VR,5,2,1,1,1,1,0,0
576280,Arena Hero,1,2,1,0,1,1,0,2
2004640,Svarog's Dream,1,2,2,1,2,0,0,0
685670,Know by heart,2,1,2,1,1,0,0,0
1039970,Grisaia Phantom Trigger Vol.6,2,2,2,0,1,0,0,0
501970,Phantasmagoria 2: A Puzzle of Flesh,2,1,1,1,1,0,0,2
344630,Princess Evangile All Ages Version,2,2,2,1,1,0,0,0
436000,Lovely Planet Arcade,1,0,1,0,0,0,0,2
364810,Star Trek™: Starfleet Academy,1,2,1,0,0,0,1,0
1476340,The Adventure of NAYU,5,0,2,2,1,1,0,0
2200,Quake III Arena,1,2,2,2,1,0,1,0
1380390,Dread X Collection 2,1,1,2,1,1,0,0,0
1084020,TheoTown,2,1,2,2,2,1,1,0
1394930,MAMIYA,1,2,2,1,2,0,0,0
625980,Yomawari: Midnight Shadows,2,2,2,2,1,0,0,0
1829370,Death Horizon: Reloaded,1,2,1,0,0,1,1,2
1441230,Tanto Cuore,5,1,2,1,2,0,1,0
1041400,Fight Angel/格斗天使,1,0,2,0,0,0,1,0
2317300,Access Denied: Escape,2,1,2,1,0,0,0,0
220860,McPixel,1,0,1,2,1,0,0,0
1185780,Forest Ranger Simulator,1,1,0,1,1,1,0,1
362870,RPG Maker 2003,15,1,2,1,2,0,0,0
2581700,MotoGP™24,16,2,1,2,2,1,1,0
975120,~necromancy~Emily's Escape,1,1,0,1,1,0,0,1
61730,Critter Crunch,1,1,2,1,0,0,1,0
1249040,American Arcadia,2,2,2,2,1,1,0,0
912450,YU-NO: A girl who chants love at the bound of this world,2,2,1,1,2,0,0,2
668430,V-Racer Hoverbike,1,2,2,1,0,0,1,0
962130,Grounded,1,2,2,2,2,1,1,0
389730,TEKKEN 7,1,2,1,2,2,1,1,0
655730,This Strange Realm Of Mine,1,0,1,1,2,0,0,0
688630,Nightork Adventures 2 - Legacy of Chaos,1,0,0,0,0,0,0,1
1338770,Sniper Ghost Warrior Contracts 2,1,1,1,2,2,1,0,0
1451810,LEGO® 2K Drive,16,2,0,2,1,1,1,2
576410,Nihilist Simulator,22,0,1,0,1,0,0,0
2099680,Rent A Car Simulator 24,5,1,0,0,0,1,1,2
479000,IrreVRsible,1,0,1,0,1,0,0,2
800270,Terraforming Mars,20,2,0,2,2,0,1,2
292000,No More Room in Hell 2,1,2,0,2,2,1,1,1
329650,NAM,1,0,0,1,0,0,0,2
2530470,Garden of Witches,1,2,2,1,1,1,0,0
239140,Dying Light,1,1,2,2,2,1,1,0
941020,BAYANI - Fighting Game,1,2,2,0,0,0,1,0
1115780,The Almost Gone,2,1,1,2,0,1,0,2
1611410,Stardom 3,5,2,2,2,2,0,0,0
517330,Stellar Interface,1,0,1,1,1,1,0,2
265790,Residue: Final Cut,2,0,0,0,1,1,0,2
1990110,SpellRogue,11,2,2,2,2,1,0,0
1921780,The Sushi Spinnery,5,1,2,1,2,1,0,0
973060,恶魔迷宫 2 |Evil Maze 2 | 惡魔迷宮 2,1,1,0,0,2,0,0,2
1336120,Bridge Constructor: The Walking Dead,18,0,1,1,1,1,0,2
220090,The Journey Down: Chapter One,2,1,1,2,1,0,0,0
449540,There's Poop In My Soup,5,0,2,2,1,0,0,0
606880,GreedFall,15,1,1,2,2,1,0,2
572410,Steel Division: Normandy 44,1,1,1,2,2,0,1,2
408440,Dream Factory,11,2,0,0,0,0,0,1
604450,Another Adventure,2,1,2,2,0,0,0,0
2023880,The Tale of Onogoro,1,2,1,0,0,1,0,0
10460,The Club™,1,1,0,0,2,0,1,1
569340,Thing-in-Itself,2,0,1,0,1,0,0,2
705020,Bottom of the 9th,11,0,1,0,1,0,1,0
1696960,Lake Haven - Chrysalis,1,1,2,1,0,0,0,0
542120,Win Big Or Die,1,0,1,0,1,0,0,2
1955830,Touhou Hero of Ice Fairy,1,1,2,2,2,0,0,0
719750,PUSS!,1,1,2,2,0,1,0,0
939600,LOVE³ -Love Cube-,5,2,2,2,1,0,0,0
1345870,Franchise Hockey Manager 7,18,2,1,1,2,0,0,2
2060230,Infested Fortress,2,2,1,0,0,0,0,0
1365010,Lost Potato,1,1,2,1,0,1,0,0
587570,Elsewhere High: Chapter 1 - A Visual Novel,2,0,0,0,0,0,0,2
482450,Nitroplus Blasterz: Heroines Infinite Duel,1,1,2,2,1,0,1,0
492230,Space Hulk: Tactics,20,1,0,2,2,1,1,2
436530,Bullshot,1,0,0,1,1,1,1,2
310370,The Way of Life Free Edition,9,0,0,2,0,0,0,2
385030,C. Kane,11,0,2,0,0,0,0,0
2460130,Teenage Mutant Ninja Turtles: Mutants Unleashed,1,2,0,0,2,1,1,1
297760,Qvadriga,16,1,1,1,2,0,0,0
1432050,Nobody Saves the World,1,2,2,2,2,1,1,0
931000,URUZ Return of The Er Kishi,1,1,1,1,1,0,0,2
536220,The Walking Dead: A New Frontier,2,0,1,2,2,1,0,0
486120,Escape The Past,2,0,0,0,1,0,0,2
211120,The Political Machine,20,0,0,1,0,0,1,2
1477700,Project Wunderwaffe,1,1,0,1,1,1,0,1
389140,Horizon Chase Turbo,1,2,2,2,2,1,1,0
611300,Task Force,1,0,0,1,0,0,1,2
